Jun 20 15:59:08 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=49674, destination-ip=202.168.254.4, destination-port=161, time=2020/6/20 21:59:08, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:08 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=47209, destination-ip=202.168.254.8, destination-port=53, time=2020/6/20 21:59:08, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:08 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=36811, destination-ip=202.168.254.8, destination-port=53, time=2020/6/20 21:59:08, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:08 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=55535, destination-ip=202.168.254.8, destination-port=161, time=2020/6/20 21:59:08, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:08 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=46852, destination-ip=172.21.171.5, destination-port=161, time=2020/6/20 21:59:08, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:08 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=60028, destination-ip=202.168.254.8, destination-port=53, time=2020/6/20 21:59:08, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:08 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=44652, destination-ip=202.168.254.21, destination-port=161, time=2020/6/20 21:59:08, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:09 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=47554, destination-ip=202.168.254.8, destination-port=53, time=2020/6/20 21:59:09, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:08 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=43300, destination-ip=172.21.171.3, destination-port=161, time=2020/6/20 21:59:08, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:09 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=41991, destination-ip=202.168.254.8, destination-port=53, time=2020/6/20 21:59:09, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:09 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=56426, destination-ip=202.168.254.8, destination-port=53, time=2020/6/20 21:59:09, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
